Datetime,Open,High,Low,Close,Volume
2024-05-31 12:48:00-04:00,519.3,519.4,519.22,519.4,67611.0
2024-05-31 12:48:00-04:00,519.3,519.4,519.22,519.4,67611.0
2024-05-31 12:49:00-04:00,519.42,519.42,519.14,519.26,57941.0
2024-05-31 12:49:00-04:00,519.42,519.42,519.14,519.26,57941.0
2024-05-31 12:50:00-04:00,519.27,519.28,519.02,519.18,47085.0
2024-05-31 12:50:00-04:00,519.27,519.28,519.02,519.18,47085.0
2024-05-31 12:51:00-04:00,519.19,519.28,519.11,519.22,43457.0
2024-05-31 12:51:00-04:00,519.19,519.28,519.11,519.22,43457.0
2024-05-31 12:52:00-04:00,519.23,519.4,519.21,519.4,33461.0
2024-05-31 12:52:00-04:00,519.23,519.4,519.21,519.4,33461.0
2024-05-31 12:53:00-04:00,519.42,519.44,519.38,519.41,23845.0
2024-05-31 12:53:00-04:00,519.42,519.44,519.38,519.41,23845.0
2024-05-31 12:54:00-04:00,519.42,519.42,519.32,519.33,27285.0
2024-05-31 12:54:00-04:00,519.42,519.42,519.32,519.33,27285.0
2024-05-31 12:55:00-04:00,519.33,519.41,519.26,519.37,42970.0
2024-05-31 12:55:00-04:00,519.33,519.41,519.26,519.37,42970.0
2024-05-31 12:56:00-04:00,519.35,519.4,519.32,519.38,39642.0
2024-05-31 12:56:00-04:00,519.35,519.4,519.32,519.38,39642.0
2024-05-31 12:57:00-04:00,519.39,519.49,519.39,519.43,47079.0
2024-05-31 12:57:00-04:00,519.39,519.49,519.39,519.43,47079.0
2024-05-31 12:58:00-04:00,519.43,519.46,519.35,519.43,28566.0
2024-05-31 12:58:00-04:00,519.43,519.46,519.35,519.43,28566.0
